brand,model,processor,ram,memory,os,display_size,price,star_rating,ratings
Lenovo,A6-9225,AMD A6-9225 Processor,4GB,1024GB HDD,Windows,Missing,324.87,3.7,63
Lenovo,Ideapad,AMD APU Dual,4GB,512GB HDD,Windows,Missing,254.67,3.6,1894
Avita,PURA,AMD APU Dual,4GB,128GB SSD,Windows,Missing,259.87,3.7,1153
Avita,PURA,AMD APU Dual,4GB,128GB SSD,Windows,Missing,279.37,3.7,1153
Avita,PURA,AMD APU Dual,4GB,256GB SSD,Windows,Missing,324.87,3.7,1657
Avita,PURA,AMD APU Dual,8GB,256GB SSD,Windows,14,324.87,3.7,1657
Hp,APU,AMD APU Dual,4GB,1024GB HDD,Windows,14,271.7,3.9,1185
Lenovo,APU,AMD APU Dual,4GB,1024GB HDD,Windows,Missing,284.64799999999997,3.9,219
Hp,Athlon,AMD Athlon Dual,32GB,32GB SSD,Windows,14,349.687,0.0,0
Acer,Aspire,AMD Athlon Dual,4GB,256GB SSD,Windows,Missing,415.87,4.2,76
Asus,ExpertBook,Intel Core i3,4GB,1024GB HDD,Windows,15.6,450.43699999999995,2.3,3
Lenovo,Missing,Intel Core i3,4GB,1024GB HDD,Windows,Missing,506.98699999999997,3.8,65
Lenovo,v15,Intel Core i3,4GB,1024GB HDD,Windows,15.6,519.987,3.1,8
Asus,ExpertBook,Intel Core i5,8GB,512GB SSD,Windows,Missing,909.87,0.0,0
Asus,VivoBook,Intel Celeron Dual,4GB,512GB HDD,Windows,Missing,350.87,0.0,0
Asus,EeeBook,Intel Celeron Dual,4GB,512GB HDD,Windows,Missing,298.87,0.0,0
Asus,EeeBook,Intel Celeron Dual,4GB,512GB HDD,Windows,Missing,285.87,3.5,31
Asus,ExpertBook,Intel Core i5,8GB,1024GB HDD,Windows,14,764.387,0.0,0
Lenovo,Missing,Intel Core i5,4GB,1024GB HDD,Windows,14,649.987,0.0,0
Acer,Aspire,AMD Ryzen,4GB,512GB HDD,Windows,Missing,714.87,4.5,3190
Acer,Nitro,AMD Ryzen 5,4GB,512GB HDD,Windows,Missing,779.87,4.5,1946
Acer,Nitro,AMD Ryzen 5,4GB,512GB HDD,Windows,Missing,1218.1,4.5,259
Acer,Nitro,AMD Ryzen 5,4GB,512GB HDD,Windows,Missing,948.87,4.5,425
Avita,Cosmos,Intel Celeron Dual,4GB,512GB HDD,Windows,Missing,227.36999999999998,3.6,1120
Asus,ExpertBook,Intel Core i3,4GB,256GB SSD,Windows,Missing,467.87,0.0,0
Hp,x360,Intel Core i3,8GB,256GB SSD,Windows,14,734.37,0.0,0
Hp,x360,Intel Core i5,8GB,256GB SSD,Windows,14,850.0699999999999,0.0,0
Lenovo,IdeaPad,Intel Celeron Dual,4GB,256GB SSD,Windows,14,415.98699999999997,4.0,286
Hp,Celeron,Intel Celeron Dual,8GB,256GB SSD,Windows,14,422.37,4.0,58
Lenovo,IdeaPad,Intel Celeron Dual,4GB,256GB SSD,Windows,Missing,413.387,0.0,0
Asus,VivoBook,Intel Celeron Dual,4GB,256GB SSD,Windows,Missing,388.57,4.0,7
Asus,Celeron,Intel Celeron Dual,4GB,1024GB HDD,Windows,15.6,311.87,3.8,15279
Hp,15q,Intel Core i3,4GB,1024GB HDD,Windows,15.6,428.41499999999996,4.2,311
Hp,250-G6,Intel Core i5,4GB,1024GB HDD,Windows,15.6,600.6,4.2,47
Asus,Missing,Intel Core i3,4GB,256GB SSD,Windows,14,447.577,4.1,37
Lenovo,IdeaPad,Intel Core i3,8GB,256GB SSD,Windows,15.6,493.87,4.3,2080
Asus,VivoBook,Intel Core i3,4GB,256GB SSD,Windows,15.6,467.87,4.3,1479
Asus,VivoBook,Intel Core i3,8GB,256GB SSD,Windows,14,441.73999999999995,4.4,67
Hp,Missing,Intel Core i3,8GB,256GB SSD,Windows,14,519.87,4.2,273
Dell,Vostro,Intel Core i3,8GB,256GB SSD,Windows,14,513.37,4.3,1267
Redmibook,15,Intel Core i3,8GB,256GB SSD,Windows,15.6,506.87,4.3,1063
Hp,Pavilion,Intel Core i3,8GB,256GB SSD,Windows,14,701.87,4.6,14
Acer,Aspire,Intel Core i3,8GB,256GB SSD,Windows,15.6,506.87,0.0,0
